Sentence,Label
Amazing! I absolutely love it.,1
I hate this product. It's awful.,0
Brilliant features I highly recommend it.,1
I wasted my money on this useless item.,0
This makes my daily tasks so much easier.,1
This app crashes constantly and is unusable.,0
This is exactly what I needed.,1
I couldn’t be happier with this choice.,1
The worst decision I’ve ever made.,0
This failed to meet even the basic expectations.,0
A seamless and enjoyable experience.,1
The product is flawed and unreliable.,0
The delivery was fast and the product is amazing.,1
Horrible customer service very unhelpful.,0
The quality is terrible and poorly made.,0
Highly efficient and exactly as promised.,1
The worst experience I’ve had with any product.,0
The service was outstanding.,1
The description is completely misleading.,0
I’m extremely happy with the results.,1
The app freezes every time I try to use it.,0
Fantastic quality and great value!,1
The service was terrible.,0
I hate this product!,0
Customer support was incredibly helpful.,1
Excellent design and usability.,1
Horrendous design not user-friendly at all.,0
Great performance and worth every penny.,1
This was a complete waste of time and money.,0
Terrible quality and not worth the money.,0
A very frustrating experience overall.,0
Very reliable and works like a charm.,1
It does not work as advertised.,0
The best experience I’ve had with any product.,1
This is not what I expected at all.,0
I am very disappointed with my purchase.,0
A fantastic addition to my tools.,1
I’m extremely dissatisfied with the results.,0
The value for money is incredible.,1
The quality is superb and unmatched.,0
This app makes my life so much easier.,1
I regret buying this more than anything.,0
This exceeded all my expectations!,1
This is the best thing I’ve ever used.,1
Customer service was rude and unhelpful.,0
Amazing customer service highly recommended!,1
I love this product!,1
It stopped working after a few days.,0
Delivery was delayed and the item was broken.,0
It works perfectly and as described.,1
This product is fantastic and exceeded all my expectations.,1
I absolutely love how easy this is to use!,1
The quality of this item is unparalleled and highly reliable.,1
I am beyond satisfied with the service I received.,1
This is one of the best purchases I've ever made.,1
Everything works perfectly and I couldn't be happier.,1
The attention to detail in this product is incredible.,1
It's an absolute pleasure using this item daily.,1
Highly recommend this to anyone looking for quality.,1
I am thrilled with how well this works for me.,1
The design and usability are top-notch.,1
I was amazed by how quickly this product delivered results.,1
The customer support team was exceptionally helpful.,1
This is exactly what I've been searching for all along.,1
It makes my life so much easier and stress-free.,1
I'm thoroughly impressed with the durability of this product.,1
This turned out to be the perfect gift for my friend.,1
I can't stop recommending this to everyone I know.,1
It has been a game-changer for my everyday needs.,1
I'm delighted with the overall value for money.,1
This product failed to meet even the most basic standards.,0
I regret purchasing this as it broke almost immediately.,0
Customer service was unhelpful and dismissive of my concerns.,0
This item is a complete waste of money and time.,0
I am extremely disappointed with the poor quality of this product.,0
It does not work as advertised and caused endless frustration.,0
The features are severely lacking and far from intuitive.,0
I experienced repeated crashes and usability issues.,0
This product is nowhere near what was promised in the description.,0
It arrived damaged and I couldn't get a replacement.,0
Using this has been nothing but a nightmare for me.,0
The overall experience left me feeling cheated and upset.,0
I would not recommend this product to anyone under any circumstances.,0
It completely failed to perform the primary task I needed.,0
The materials used feel cheap and poorly constructed.,0
The instructions were confusing and nearly impossible to follow.,0
I expected much better based on the reviews I read.,0
This has been one of the worst shopping experiences I've ever had.,0
I wouldn't buy this again even if it were free.,0
It has caused me more problems than solutions.,0
I love this product it's amazing!,1
This is the worst thing I've ever bought.,0
Absolutely fantastic experience!,1
Terrible quality completely disappointed.,0
I am so happy with this purchase.,1
This is a complete waste of money.,0
Excellent service I will buy again!,1
Never buying from here again awful!,0
Very satisfied with the results!,1
The package arrived broken and late.,0
Amazing quality for the price!,1
Not worth the money at all.,0
I am extremely pleased with my order.,1
Total disaster do not recommend.,0
Great experience I love it!,1
Poor customer service and defective item.,0
This made my day thank you!,1
I regret buying this terrible product.,0
Highly recommend very happy!,1
It broke within a week so bad.,0
Perfect! Exactly what I needed.,1
Doesn't work as advertised terrible.,0
I will definitely buy this again!,1
This is the most useless item ever.,0
Fantastic product exceeded expectations!,1
Awful I am very dissatisfied.,0
Absolutely love it so good!,1
Disappointed this is very poor quality.,0
Best purchase I've made in a long time!,1
Complete failure I want a refund.,0
Superb and worth every penny!,1
This is an absolute joke never again.,0
Great value and excellent quality!,1
Terrible doesn't even turn on.,0
Outstanding product and quick delivery!,1
Very low quality fell apart instantly.,0
Happy with my purchase thank you!,1
Defective and arrived late.,0
I can't believe how great this is!,1
Awful experience completely useless.,0
Exceptional quality highly recommend!,1
Not as described very disappointed.,0
I will order more love it!,1
Garbage don't waste your money.,0
Wonderful experience thank you!,1
Horrible item broke right away.,0
I am thrilled it's perfect!,1
This is the worst decision I've made.,0
Fantastic customer service and product!,1
Very cheap material not worth it.,0
Top-notch very satisfied!,1
This doesn't work very unhappy.,0
Love it can't recommend enough!,1
Hate it wish I could return it.,0
Wonderful purchase exceeded expectations!,1
Terrible investment don't buy this.,0
Amazing performance I'm impressed!,1
Very disappointed this is awful.,0
Couldn't be happier with this!,1
Broken item and no support horrible.,0
Spectacular highly satisfied!,1
I would never recommend this to anyone.,0
Fantastic quality and great price!,1
Low quality and overpriced.,0
I'm amazed by how good this is!,1
Completely useless and frustrating.,0
Perfect in every way love it!,1
Worst experience I've ever had.,0
This changed my life thank you!,1
I feel cheated terrible product.,0
Amazing I'll tell all my friends!,1
Broken and unusable a waste of money.,0
Best thing I've ever purchased!,1
Totally unreliable very upset.,0
Incredible exceeded all my expectations!,1
Very bad quality not worth it.,0
So happy with this highly recommend!,1
Faulty and poor design.,0
Everything about this is fantastic!,1
Broken upon arrival not worth it.,0
Love it will buy again!,1
Horrendous experience do not buy.,0
I can't stop smiling amazing!,1
Worst quality I've encountered.,0
Great job absolutely love it!,1
This is garbage I'm furious.,0
Super satisfied best choice ever!,1
Horrible decision very regretful.,0
Unbelievable quality so good!,1
This is so bad I can't believe it.,0
Best purchase ever love it!,1
I want my money back awful.,0
 This app has changed my life for the better. ,1
 The food tasted bland and uninspired. ,0
 I couldn't be happier with the customer service! ,1
 The battery life is atrocious and drains quickly. ,0
 An exceptional product that delivers on all promises. ,1
 The package arrived late and was damaged. ,0
 I was blown away by the quality of this item! ,1
 The instructions were confusing and poorly written. ,0
 Such a delightful experience shopping with them. ,1
 The product feels cheap and flimsy. ,0
 The staff were incredibly helpful and attentive. ,1
 This product fell apart after just one use. ,0
 A must-have for anyone who values quality. ,1
 I wish I had never wasted my money on this. ,0
 Quick delivery and exactly as described! ,1
 The software is buggy and crashes often. ,0
 I can't wait to recommend this to my friends! ,1
 The color is completely different from the picture. ,0
 This upgrade is worth every single penny. ,1
 The sound quality is horrible and muffled. ,0
 Impressive craftsmanship and attention to detail. ,1
 Shipping took forever and I got the wrong item. ,0
 Easy to use and incredibly intuitive design. ,1
 The screen resolution is poor and outdated. ,0
 This exceeded my expectations in every way. ,1
 The smell was terrible right out of the box. ,0
 Finally a product that actually works as advertised! ,1
 I regret ever purchasing this such a disappointment. ,0
 The team was so professional and efficient. ,1
 I couldn't stand the noise this machine makes. ,0
 Highly functional and beautifully designed. ,1
 The customer service was outstanding and prompt. ,1
 The product doesn’t work and is a total rip-off. ,0
 I’m thrilled with how well this performs! ,1
 This broke down after a few days of use. ,0
 I’ve recommended this to all my friends and family. ,1
 The quality is subpar and not worth the cost. ,0
 It’s compact lightweight and easy to use. ,1
 The item didn’t meet my expectations at all. ,0
 I’m impressed by the incredible build quality. ,0
 The fabric feels cheap and looks unattractive. ,0
 This has made my life so much easier! ,0
 It stopped functioning after just a week. ,0
 I love how sleek and modern the design is. ,0
 The paint chipped off within hours of use. ,0
 This has quickly become my favorite gadget. ,0
 The setup process was confusing and time-consuming. ,0
 It’s durable and feels very well made. ,0
 The app interface is clunky and outdated. ,0
 I can’t express how much I love this! ,0
 The device gets overheated very quickly. ,0
 A perfect gift idea for anyone who enjoys quality. ,1
 The warranty process is frustrating and unhelpful. ,0
 This is the most user-friendly product I’ve ever tried. ,1
 The product arrived in pieces totally unusable. ,0
 It’s versatile and works for so many applications. ,1
 The battery life doesn’t last nearly long enough. ,0
 This adds so much value to my daily routine. ,1
 The buttons are unresponsive and poorly placed. ,0
 I’m amazed at how well this performs under pressure. ,1
 The outer material feels rough and scratches easily. ,0
 This has exceeded my expectations in every way. ,1
 The screen resolution is grainy and hard to read. ,0
 I couldn’t be happier with this purchase! ,1
 The return policy is a nightmare to deal with. ,0
 It’s stylish functional and works like a dream. ,1
 The assembly instructions were unclear and frustrating. ,0
 This has brought so much convenience to my life. ,1
 The product is flimsy and fell apart immediately. ,0
 It’s everything I’ve been looking for and more. ,1
 The delivery process was slow and unreliable. ,0
 The texture and feel of this are incredible. ,1
